id,school_type,school_level,charter,year,state,zip_code,percent_college,rate_unemployment,percent_married,median_income,average_act,percent_lunch,fte_teachers
120018000217.0,Regular School,High,No,2016-2017,FL,33305,0.533711405166982,0.117365710080942,0.846036585365854,31934.0,21.3003663003663,0.569156626506024,101.0
120018000225.0,Regular School,High,No,2016-2017,FL,33065,0.493370551290998,0.197635135135135,0.560143626570916,45759.0,20.0549450549451,0.4826224328594,137.0
120018000231.0,Regular School,High,No,2016-2017,FL,33334,0.451375559820857,0.202110649184522,0.425430210325048,43669.0,18.4676434676435,0.640928725701944,91.0
120018000234.0,Regular School,High,No,2016-2017,FL,33314,0.597447395653674,0.0850327048864948,0.642857142857143,38598.0,21.5201465201465,0.415735567970205,95.0
120018000241.0,Regular School,High,No,2016-2017,FL,33313,0.625744258576694,0.0596926713947991,0.495787427090084,58329.0,19.0537240537241,0.562214089661482,107.0
120018000247.0,Regular School,High,No,2016-2017,FL,33021,0.8683304647160071,0.0888888888888889,0.982142857142857,84063.0,18.8339438339438,0.586289549376798,98.0
120018000249.0,Regular School,High,No,2016-2017,FL,33066,0.714903846153846,0.0860266159695817,0.759521218715996,59410.0,17.2466422466422,0.717485549132948,78.0
120018000251.0,Regular School,High,No,2016-2017,FL,33441,0.318916102136529,0.189372526851328,0.275316455696203,28689.0,20.1770451770452,0.608421052631579,113.0
120018000252.0,Regular School,High,No,2016-2017,FL,33309,0.641963727329581,0.153529814941741,0.311464968152866,36660.0,18.0525030525031,0.784886927744071,82.0
120018000253.0,Regular School,High,No,2016-2017,FL,33025,0.616678346180799,0.172767203513909,0.423853211009174,50984.0,20.4945054945055,0.589792785878741,109.0
120018000264.0,Regular School,High,No,2016-2017,FL,33351,0.56326318524292,0.118131203098523,0.526901669758813,42384.0,18.1990231990232,0.53552790044159,112.0
120018000265.0,Regular School,High,No,2016-2017,FL,33328,0.640591315060055,0.106194690265487,0.531417112299465,71325.0,22.2527472527473,0.191588785046729,101.0
120018000272.0,Regular School,High,No,2016-2017,FL,33317,0.348535658394813,0.0643079661771251,0.728628800917958,40247.0,19.957264957265,0.53797733948804,105.0
120018002117.0,Regular School,High,No,2016-2017,FL,33071,0.729704797047971,0.0613254203758655,0.733333333333333,86518.0,20.9340659340659,0.397385620915033,141.0
120018002120.0,Regular School,High,No,2016-2017,FL,33325,0.511682242990654,0.0827296097218976,0.634423897581792,53952.0,21.3247863247863,0.305194805194805,143.0
120018002721.0,Regular School,High,No,2016-2017,FL,33076,0.743016759776536,0.0631229235880399,0.780369290573372,97143.0,22.960927960928,0.175444371296906,136.0
120018003029.0,Regular School,High,No,2016-2017,FL,33028,0.786533816425121,0.0658914728682171,0.794202898550725,82178.0,20.8608058608059,0.373498111912118,121.0
120018003301.0,Regular School,High,No,2016-2017,FL,33060,0.713690062543433,0.0934065934065934,0.465671641791045,43324.0,22.7167277167277,0.283940397350993,58.0
120018003684.0,Regular School,High,No,2016-2017,FL,33314,0.64776357827476,0.126924521216673,0.836990595611285,45954.0,26.5506715506715,0.200581395348837,12.0
120018003815.0,Regular School,High,No,2016-2017,FL,33332,0.721358428805237,0.0861928104575163,0.851030110935024,113203.0,23.0586080586081,0.128094481035658,211.0
120018003823.0,Regular School,High,Yes,2016-2017,FL,33029,0.637521018496277,0.104891446507978,0.869413407821229,85717.0,20.2991452991453,0.269673704414587,52.0
120018004037.0,Regular School,High,No,2016-2017,FL,33065,0.700750804433321,0.134814363968351,0.598191214470284,67855.0,20.4212454212454,0.435844370860927,112.0
120018004050.0,Regular School,High,No,2016-2017,FL,33073,0.710396681358569,0.0813594232749743,0.888779041028176,83802.0,19.8107448107448,0.38738338516215,106.0
120018004052.0,Regular School,High,No,2016-2017,FL,33027,0.807441446783279,0.0583617476805963,0.721993531314319,89750.0,20.2014652014652,0.36701030927835,105.0
120018007555.0,Regular School,High,No,2016-2017,FL,33029,0.637521018496277,0.104891446507978,0.869413407821229,85717.0,21.8376068376068,0.188373804267844,123.0
120024000296.0,Regular School,High,No,2016-2017,FL,33950,0.507062146892655,0.243264659270998,0.138728323699422,26636.0,21.9352869352869,0.40273396424816,96.0
120024000298.0,Regular School,High,No,2016-2017,FL,34224,0.577916295636687,0.223901098901099,0.705583756345178,44063.0,22.8388278388278,0.353968253968254,62.0
120024002122.0,Regular School,High,No,2016-2017,FL,33948,0.559405940594059,0.0577922077922078,0.522550544323484,38237.0,21.1782661782662,0.484542211652794,79.0
120024007659.0,Regular School,High,Yes,2016-2017,FL,33950,0.507062146892655,0.243264659270998,0.138728323699422,26636.0,23.2295482295482,0.010989010989011,12.0
120027000305.0,Regular School,High,No,2016-2017,FL,34452,0.535067873303167,0.189716312056738,0.382911392405063,32095.0,20.1526251526252,0.469055374592834,82.0
120027000314.0,Regular School,High,No,2016-2017,FL,34428,0.389318885448916,0.123035230352304,0.542217700915565,29109.0,21.3492063492064,0.489263803680982,72.0
120027002425.0,Regular School,High,No,2016-2017,FL,34461,0.486725663716814,0.114880493446415,0.542528735632184,35531.0,21.7399267399267,0.420817369093231,83.0
120030000323.0,Regular School,High,No,2016-2017,FL,32073,0.552929085303186,0.115600448933782,0.520169851380042,39375.0,20.8852258852259,0.380803011292346,93.0
120030000328.0,Regular School,High,No,2016-2017,FL,32656,0.56551724137931,0.199762187871581,0.731578947368421,55221.0,21.4224664224664,0.363047001620746,70.0
120030000330.0,Regular School,High,No,2016-2017,FL,32043,0.485205110961668,0.118957545187053,0.256034482758621,37944.0,21.6422466422466,0.302358827734096,82.0
120030002053.0,Regular School,High,No,2016-2017,FL,32068,0.617870310127955,0.0426940639269406,0.604854755272583,58974.0,20.3235653235653,0.332748538011696,104.0
120030002494.0,Regular School,High,No,2016-2017,FL,32065,0.546031746031746,0.0819672131147541,0.581609195402299,47981.0,21.9108669108669,0.269798657718121,105.0
120030004062.0,Regular School,High,No,2016-2017,FL,32003,0.683370730491149,0.115631691648822,0.645710928319624,86081.0,22.9120879120879,0.113243761996161,110.0
120030007558.0,Regular School,High,No,2016-2017,FL,32065,0.705837257693571,0.0885449701890143,0.728946525776497,82955.0,20.1037851037851,0.214180929095355,114.0
120033000343.0,Regular School,High,No,2016-2017,FL,34102,0.653919694072658,0.100534759358289,0.797385620915033,61088.0,21.6910866910867,0.372572815533981,84.0
120033000354.0,Regular School,High,No,2016-2017,FL,34113,0.317539319131993,0.166139954853273,0.646969696969697,44471.0,20.5433455433455,0.606,87.0
120033000355.0,Regular School,High,No,2016-2017,FL,34142,0.0931216931216931,0.0764494612621857,0.347695390781563,18861.0,17.5396825396825,0.870477568740955,87.0
120033000357.0,Regular School,High,No,2016-2017,FL,34109,0.701923076923077,0.0542521994134897,0.658303464755078,48660.0,22.8144078144078,0.240893066980023,81.0
120033003336.0,Regular School,High,No,2016-2017,FL,34119,0.719877206446662,0.0840404699738903,0.768115942028985,63483.0,22.3260073260073,0.196637799286806,100.0
120033003959.0,Regular School,High,No,2016-2017,FL,34116,0.601998621640248,0.116151202749141,0.488975356679637,43057.0,18.6385836385836,0.6658521686011,84.0
120033003960.0,Regular School,High,No,2016-2017,FL,34120,0.556806550665302,0.0561618917689859,0.570190641247834,59273.0,20.4212454212454,0.399670148433205,94.0
120036000358.0,Regular School,High,No,2016-2017,FL,32025,0.558779201205727,0.126320624712908,0.475319926873857,44231.0,21.4468864468864,0.445615982241953,114.0
120039000589.0,Regular School,High,No,2016-2017,FL,33015,0.582964156262586,0.085045911674683,0.58679706601467,33465.0,18.3699633699634,0.698139534883721,91.0
120039000590.0,Regular School,High,No,2016-2017,FL,33146,0.934972244250595,0.0283322601416613,0.789705882352941,122750.0,20.4700854700855,0.613357292602576,142.0
